ALGORITHM, GESTURE, # OF SELECTED SENSORS, PARTICIPANT_NO, ACCURACY, AUC, #ofPositiveInstance, #ofNegativeInstance, TN, FP, FN, TP, FAR, FRR, EER
RF-501, Circle, Acc, 1, 0.96, 0.76, 15, 169, 168, 1, 7, 8, 0.01, 0.47, 0.32
RF-501, Circle, Acc, 2, 0.99, 1.00, 19, 165, 164, 1, 0, 19, 0.01, 0.00, 0.01
RF-501, Circle, Acc, 3, 0.92, 0.61, 17, 167, 165, 2, 13, 4, 0.01, 0.76, 0.44
RF-501, Circle, Acc, 4, 0.98, 0.86, 11, 173, 172, 1, 3, 8, 0.01, 0.27, 0.22
RF-501, Circle, Acc, 5, 0.96, 0.75, 12, 172, 171, 1, 6, 6, 0.01, 0.50, 0.33
RF-501, Circle, Acc, 6, 0.93, 0.62, 16, 168, 167, 1, 12, 4, 0.01, 0.75, 0.43
RF-501, Circle, Acc, 7, 0.97, 0.85, 14, 170, 169, 1, 4, 10, 0.01, 0.29, 0.22
RF-501, Circle, Acc, 8, 0.99, 1.00, 9, 175, 174, 1, 0, 9, 0.01, 0.00, 0.01
RF-501, Circle, Acc, 9, 0.90, 0.50, 17, 167, 166, 1, 17, 0, 0.01, 1.00, 0.50
RF-501, Circle, Acc, 10, 1.00, 1.00, 8, 176, 176, 0, 0, 8, 0.00, 0.00, 0.00
RF-501, Circle, Acc, 11, 1.00, 1.00, 3, 181, 181, 0, 0, 3, 0.00, 0.00, 0.00
RF-501, Circle, Acc, 12, 0.99, 0.88, 8, 176, 176, 0, 2, 6, 0.00, 0.25, 0.20
RF-501, Circle, Acc, 13, 0.99, 0.94, 8, 176, 176, 0, 1, 7, 0.00, 0.12, 0.11
RF-501, Circle, Acc, 14, 0.97, 0.87, 16, 168, 167, 1, 4, 12, 0.01, 0.25, 0.20
RF-501, Circle, Acc, 15, 0.96, 0.72, 11, 173, 172, 1, 6, 5, 0.01, 0.55, 0.35
RF-501, Updown, Acc, 1, 0.98, 0.93, 14, 152, 151, 1, 2, 12, 0.01, 0.14, 0.13
RF-501, Updown, Acc, 2, 0.96, 0.83, 15, 151, 149, 2, 5, 10, 0.01, 0.33, 0.25
RF-501, Updown, Acc, 3, 0.95, 0.73, 15, 151, 150, 1, 8, 7, 0.01, 0.53, 0.35
RF-501, Updown, Acc, 4, 0.99, 0.94, 8, 158, 158, 0, 1, 7, 0.00, 0.12, 0.11
RF-501, Updown, Acc, 5, 0.96, 0.70, 10, 156, 156, 0, 6, 4, 0.00, 0.60, 0.37
RF-501, Updown, Acc, 6, 0.99, 0.96, 13, 153, 153, 0, 1, 12, 0.00, 0.08, 0.07
RF-501, Updown, Acc, 7, 0.99, 0.83, 6, 160, 160, 0, 2, 4, 0.00, 0.33, 0.25
RF-501, Updown, Acc, 8, 0.99, 0.93, 7, 159, 159, 0, 1, 6, 0.00, 0.14, 0.13
RF-501, Updown, Acc, 9, 0.93, 0.61, 14, 152, 152, 0, 11, 3, 0.00, 0.79, 0.44
RF-501, Updown, Acc, 10, 0.96, 0.65, 10, 156, 156, 0, 7, 3, 0.00, 0.70, 0.41
RF-501, Updown, Acc, 11, 0.99, 0.92, 13, 153, 153, 0, 2, 11, 0.00, 0.15, 0.13
RF-501, Updown, Acc, 12, 0.98, 0.80, 5, 161, 160, 1, 2, 3, 0.01, 0.40, 0.29
RF-501, Updown, Acc, 13, 0.99, 0.75, 2, 164, 164, 0, 1, 1, 0.00, 0.50, 0.33
RF-501, Updown, Acc, 14, 0.93, 0.69, 15, 151, 148, 3, 9, 6, 0.02, 0.60, 0.38
RF-501, Updown, Acc, 15, 0.98, 0.92, 19, 147, 146, 1, 3, 16, 0.01, 0.16, 0.14
RF-501, Tilt, Acc, 1, 0.96, 0.72, 16, 185, 185, 0, 9, 7, 0.00, 0.56, 0.36
RF-501, Tilt, Acc, 2, 0.94, 0.76, 25, 176, 175, 1, 12, 13, 0.01, 0.48, 0.33
RF-501, Tilt, Acc, 3, 0.98, 0.93, 16, 185, 183, 2, 2, 14, 0.01, 0.12, 0.11
RF-501, Tilt, Acc, 4, 0.99, 0.94, 18, 183, 182, 1, 2, 16, 0.01, 0.11, 0.10
