ALGORITHM, GESTURE, # OF SELECTED SENSORS, PARTICIPANT_NO, ACCURACY, AUC, #ofPositiveInstance, #ofNegativeInstance, TN, FP, FN, TP, FAR, FRR, EER
RF-501, Circle, Acc, 1, 0.98, 0.83, 6, 86, 86, 0, 2, 4, 0.00, 0.33, 0.25
RF-501, Circle, Acc, 2, 0.98, 0.83, 6, 86, 86, 0, 2, 4, 0.00, 0.33, 0.25
RF-501, Circle, Acc, 3, 0.90, 0.55, 8, 84, 82, 2, 7, 1, 0.02, 0.88, 0.47
RF-501, Circle, Acc, 4, 0.95, 0.74, 8, 84, 83, 1, 4, 4, 0.01, 0.50, 0.34
RF-501, Circle, Acc, 5, 0.93, 0.50, 6, 86, 86, 0, 6, 0, 0.00, 1.00, 0.50
RF-501, Circle, Acc, 6, 0.92, 0.56, 8, 84, 84, 0, 7, 1, 0.00, 0.88, 0.47
RF-501, Circle, Acc, 7, 0.97, 0.75, 6, 86, 86, 0, 3, 3, 0.00, 0.50, 0.33
RF-501, Circle, Acc, 8, 0.97, 0.79, 5, 87, 86, 1, 2, 3, 0.01, 0.40, 0.29
RF-501, Circle, Acc, 9, 0.91, 0.50, 8, 84, 84, 0, 8, 0, 0.00, 1.00, 0.50
RF-501, Circle, Acc, 10, 0.98, 0.80, 5, 87, 87, 0, 2, 3, 0.00, 0.40, 0.29
RF-501, Circle, Acc, 11, 0.98, 0.75, 4, 88, 88, 0, 2, 2, 0.00, 0.50, 0.33
RF-501, Circle, Acc, 12, 0.93, 0.58, 6, 86, 85, 1, 5, 1, 0.01, 0.83, 0.46
RF-501, Circle, Acc, 13, 0.98, 0.83, 6, 86, 86, 0, 2, 4, 0.00, 0.33, 0.25
RF-501, Circle, Acc, 14, 0.92, 0.83, 7, 85, 80, 5, 2, 5, 0.06, 0.29, 0.23
RF-501, Circle, Acc, 15, 0.99, 0.83, 3, 89, 89, 0, 1, 2, 0.00, 0.33, 0.25
RF-501, Updown, Acc, 1, 0.94, 0.64, 7, 76, 76, 0, 5, 2, 0.00, 0.71, 0.42
RF-501, Updown, Acc, 2, 0.94, 0.66, 6, 77, 76, 1, 4, 2, 0.01, 0.67, 0.40
RF-501, Updown, Acc, 3, 0.93, 0.70, 7, 76, 74, 2, 4, 3, 0.03, 0.57, 0.37
RF-501, Updown, Acc, 4, 0.95, 0.60, 5, 78, 78, 0, 4, 1, 0.00, 0.80, 0.44
RF-501, Updown, Acc, 5, 0.94, 0.58, 6, 77, 77, 0, 5, 1, 0.00, 0.83, 0.45
RF-501, Updown, Acc, 6, 1.00, 1.00, 7, 76, 76, 0, 0, 7, 0.00, 0.00, 0.00
RF-501, Updown, Acc, 7, 0.94, 0.50, 5, 78, 78, 0, 5, 0, 0.00, 1.00, 0.50
RF-501, Updown, Acc, 8, 0.95, 0.74, 4, 79, 77, 2, 2, 2, 0.03, 0.50, 0.34
RF-501, Updown, Acc, 9, 0.99, 0.88, 4, 79, 79, 0, 1, 3, 0.00, 0.25, 0.20
RF-501, Updown, Acc, 10, 0.99, 0.83, 3, 80, 80, 0, 1, 2, 0.00, 0.33, 0.25
RF-501, Updown, Acc, 11, 0.99, 0.99, 1, 82, 81, 1, 0, 1, 0.01, 0.00, 0.01
RF-501, Updown, Acc, 12, 0.98, 0.88, 8, 75, 75, 0, 2, 6, 0.00, 0.25, 0.20
RF-501, Updown, Acc, 13, 0.99, 0.90, 5, 78, 78, 0, 1, 4, 0.00, 0.20, 0.17
RF-501, Updown, Acc, 14, 0.90, 0.56, 7, 76, 74, 2, 6, 1, 0.03, 0.86, 0.47
RF-501, Updown, Acc, 15, 0.96, 0.87, 8, 75, 74, 1, 2, 6, 0.01, 0.25, 0.20
