ALGORITHM, GESTURE, # OF SELECTED FEATURES, PARTICIPANT_NO, ACCURACY, AUC, #ofPositiveInstance, #ofNegativeInstance, TN, FP, FN, TP, FAR, FRR, EER
RF-501, Circle, 1, 1, 0.94, 0.77, 42, 570, 549, 21, 18, 24, 0.04, 0.43, 0.31
RF-501, Circle, 1, 2, 0.94, 0.73, 47, 565, 551, 14, 24, 23, 0.02, 0.51, 0.34
RF-501, Circle, 1, 3, 0.94, 0.78, 59, 553, 540, 13, 24, 35, 0.02, 0.41, 0.29
RF-501, Circle, 1, 4, 0.92, 0.66, 35, 577, 550, 27, 22, 13, 0.05, 0.63, 0.40
RF-501, Circle, 1, 5, 0.97, 0.89, 40, 572, 564, 8, 8, 32, 0.01, 0.20, 0.17
RF-501, Circle, 1, 6, 0.94, 0.77, 45, 567, 547, 20, 19, 26, 0.04, 0.42, 0.30
RF-501, Circle, 1, 7, 0.95, 0.76, 37, 575, 561, 14, 17, 20, 0.02, 0.46, 0.32
RF-501, Circle, 1, 8, 0.93, 0.72, 48, 564, 544, 20, 25, 23, 0.04, 0.52, 0.35
RF-501, Circle, 1, 9, 0.93, 0.72, 46, 566, 550, 16, 24, 22, 0.03, 0.52, 0.35
RF-501, Circle, 1, 10, 0.95, 0.81, 39, 573, 559, 14, 14, 25, 0.02, 0.36, 0.27
RF-501, Circle, 1, 11, 0.98, 0.94, 29, 583, 575, 8, 3, 26, 0.01, 0.10, 0.09
RF-501, Circle, 1, 12, 1.00, 1.00, 33, 579, 577, 2, 0, 33, 0.00, 0.00, 0.00
RF-501, Circle, 1, 13, 0.97, 0.79, 32, 580, 572, 8, 13, 19, 0.01, 0.41, 0.29
RF-501, Circle, 1, 14, 0.94, 0.84, 48, 564, 543, 21, 14, 34, 0.04, 0.29, 0.23
RF-501, Circle, 1, 15, 0.96, 0.83, 32, 580, 568, 12, 10, 22, 0.02, 0.31, 0.24
RF-501, Updown, 1, 1, 0.93, 0.68, 40, 512, 501, 11, 25, 15, 0.02, 0.62, 0.39
RF-501, Updown, 1, 2, 0.92, 0.67, 41, 511, 494, 17, 26, 15, 0.03, 0.63, 0.40
RF-501, Updown, 1, 3, 1.00, 1.00, 55, 497, 496, 1, 0, 55, 0.00, 0.00, 0.00
RF-501, Updown, 1, 4, 1.00, 1.00, 26, 526, 526, 0, 0, 26, 0.00, 0.00, 0.00
RF-501, Updown, 1, 5, 0.95, 0.73, 33, 519, 506, 13, 17, 16, 0.03, 0.52, 0.35
RF-501, Updown, 1, 6, 0.95, 0.78, 43, 509, 499, 10, 18, 25, 0.02, 0.42, 0.30
RF-501, Updown, 1, 7, 0.99, 0.91, 30, 522, 520, 2, 5, 25, 0.00, 0.17, 0.14
RF-501, Updown, 1, 8, 0.96, 0.84, 31, 521, 508, 13, 9, 22, 0.02, 0.29, 0.23
RF-501, Updown, 1, 9, 0.96, 0.83, 39, 513, 505, 8, 13, 26, 0.02, 0.33, 0.25
RF-501, Updown, 1, 10, 0.95, 0.67, 28, 524, 513, 11, 18, 10, 0.02, 0.64, 0.40
RF-501, Updown, 1, 11, 1.00, 1.00, 23, 529, 529, 0, 0, 23, 0.00, 0.00, 0.00
RF-501, Updown, 1, 12, 0.95, 0.71, 32, 520, 510, 10, 18, 14, 0.02, 0.56, 0.36
RF-501, Updown, 1, 13, 0.95, 0.65, 28, 524, 515, 9, 19, 9, 0.02, 0.68, 0.41
RF-501, Updown, 1, 14, 0.90, 0.70, 56, 496, 470, 26, 31, 25, 0.05, 0.55, 0.37
RF-501, Updown, 1, 15, 0.95, 0.76, 47, 505, 499, 6, 22, 25, 0.01, 0.47, 0.32
RF-501, Tilt, 1, 1, 0.99, 0.96, 50, 618, 612, 6, 4, 46, 0.01, 0.08, 0.07
RF-501, Tilt, 1, 2, 0.94, 0.82, 56, 612, 593, 19, 18, 38, 0.03, 0.32, 0.25
RF-501, Tilt, 1, 3, 0.94, 0.80, 55, 613, 590, 23, 20, 35, 0.04, 0.36, 0.27
RF-501, Tilt, 1, 4, 0.97, 0.91, 55, 613, 604, 9, 9, 46, 0.01, 0.16, 0.14
RF-501, Tilt, 1, 5, 0.93, 0.64, 37, 631, 606, 25, 25, 12, 0.04, 0.68, 0.41
RF-501, Tilt, 1, 6, 0.93, 0.72, 45, 623, 596, 27, 23, 22, 0.04, 0.51, 0.35
RF-501, Tilt, 1, 7, 0.92, 0.59, 36, 632, 605, 27, 28, 8, 0.04, 0.78, 0.45
RF-501, Tilt, 1, 8, 0.91, 0.66, 42, 626, 592, 34, 26, 16, 0.05, 0.62, 0.40
RF-501, Tilt, 1, 9, 0.92, 0.70, 46, 622, 593, 29, 25, 21, 0.05, 0.54, 0.36
RF-501, Tilt, 1, 10, 0.98, 0.92, 41, 627, 620, 7, 6, 35, 0.01, 0.15, 0.13
RF-501, Tilt, 1, 11, 0.93, 0.54, 28, 640, 620, 20, 25, 3, 0.03, 0.89, 0.48
RF-501, Tilt, 1, 12, 0.92, 0.64, 41, 627, 602, 25, 28, 13, 0.04, 0.68, 0.42
RF-501, Tilt, 1, 13, 1.00, 1.00, 34, 634, 634, 0, 0, 34, 0.00, 0.00, 0.00
RF-501, Tilt, 1, 14, 0.94, 0.80, 55, 613, 595, 18, 20, 35, 0.03, 0.36, 0.27
RF-501, Tilt, 1, 15, 0.95, 0.81, 47, 621, 606, 15, 17, 30, 0.02, 0.36, 0.27
RF-501, Triangle, 1, 1, 0.93, 0.62, 45, 711, 692, 19, 33, 12, 0.03, 0.73, 0.43
RF-501, Triangle, 1, 2, 0.91, 0.56, 57, 699, 680, 19, 49, 8, 0.03, 0.86, 0.47
RF-501, Triangle, 1, 3, 0.91, 0.68, 61, 695, 664, 31, 36, 25, 0.04, 0.59, 0.38
RF-501, Triangle, 1, 4, 0.91, 0.66, 66, 690, 664, 26, 43, 23, 0.04, 0.65, 0.40
RF-501, Triangle, 1, 5, 0.95, 0.65, 44, 712, 703, 9, 30, 14, 0.01, 0.68, 0.41
RF-501, Triangle, 1, 6, 0.94, 0.61, 43, 713, 698, 15, 33, 10, 0.02, 0.77, 0.44
RF-501, Triangle, 1, 7, 0.97, 0.77, 44, 712, 708, 4, 20, 24, 0.01, 0.45, 0.31
RF-501, Triangle, 1, 8, 0.94, 0.67, 49, 707, 693, 14, 31, 18, 0.02, 0.63, 0.39
RF-501, Triangle, 1, 9, 0.93, 0.57, 51, 705, 694, 11, 43, 8, 0.02, 0.84, 0.46
RF-501, Triangle, 1, 10, 0.93, 0.61, 42, 714, 690, 24, 31, 11, 0.03, 0.74, 0.43
RF-501, Triangle, 1, 11, 1.00, 1.00, 35, 721, 720, 1, 0, 35, 0.00, 0.00, 0.00
RF-501, Triangle, 1, 12, 0.94, 0.63, 41, 715, 696, 19, 29, 12, 0.03, 0.71, 0.42
RF-501, Triangle, 1, 13, 0.91, 0.62, 60, 696, 674, 22, 44, 16, 0.03, 0.73, 0.43
RF-501, Triangle, 1, 14, 0.91, 0.57, 48, 708, 683, 25, 40, 8, 0.04, 0.83, 0.46
RF-501, Triangle, 1, 15, 0.92, 0.77, 70, 686, 653, 33, 29, 41, 0.05, 0.41, 0.30
RF-501, Turn, 1, 1, 0.90, 0.76, 85, 590, 558, 32, 36, 49, 0.05, 0.42, 0.31
RF-501, Turn, 1, 2, 0.97, 0.88, 47, 628, 616, 12, 10, 37, 0.02, 0.21, 0.18
RF-501, Turn, 1, 3, 0.90, 0.65, 64, 611, 587, 24, 42, 22, 0.04, 0.66, 0.41
RF-501, Turn, 1, 4, 0.99, 0.93, 43, 632, 629, 3, 6, 37, 0.00, 0.14, 0.12
RF-501, Turn, 1, 5, 0.93, 0.60, 39, 636, 620, 16, 30, 9, 0.03, 0.77, 0.44
RF-501, Turn, 1, 6, 0.93, 0.68, 51, 624, 609, 15, 31, 20, 0.02, 0.61, 0.38
RF-501, Turn, 1, 7, 0.95, 0.51, 31, 644, 638, 6, 30, 1, 0.01, 0.97, 0.49
RF-501, Turn, 1, 8, 0.93, 0.59, 41, 634, 622, 12, 33, 8, 0.02, 0.80, 0.45
RF-501, Turn, 1, 9, 0.92, 0.61, 50, 625, 605, 20, 37, 13, 0.03, 0.74, 0.43
RF-501, Turn, 1, 10, 0.95, 0.57, 32, 643, 633, 10, 27, 5, 0.02, 0.84, 0.46
RF-501, Turn, 1, 11, 0.96, 0.78, 31, 644, 632, 12, 13, 18, 0.02, 0.42, 0.30
RF-501, Turn, 1, 12, 0.95, 0.80, 37, 638, 619, 19, 14, 23, 0.03, 0.38, 0.28
RF-501, Turn, 1, 13, 1.00, 1.00, 28, 647, 646, 1, 0, 28, 0.00, 0.00, 0.00
RF-501, Turn, 1, 14, 0.91, 0.67, 58, 617, 590, 27, 36, 22, 0.04, 0.62, 0.39
RF-501, Turn, 1, 15, 0.95, 0.74, 38, 637, 620, 17, 19, 19, 0.03, 0.50, 0.34
RF-501, Square, 1, 1, 0.92, 0.65, 63, 753, 730, 23, 42, 21, 0.03, 0.67, 0.41
RF-501, Square, 1, 2, 0.91, 0.56, 58, 758, 734, 24, 49, 9, 0.03, 0.84, 0.47
RF-501, Square, 1, 3, 0.93, 0.67, 67, 749, 732, 17, 43, 24, 0.02, 0.64, 0.40
RF-501, Square, 1, 4, 0.95, 0.67, 39, 777, 765, 12, 25, 14, 0.02, 0.64, 0.39
RF-501, Square, 1, 5, 0.95, 0.69, 49, 767, 756, 11, 30, 19, 0.01, 0.61, 0.38
RF-501, Square, 1, 6, 0.94, 0.71, 55, 761, 742, 19, 31, 24, 0.02, 0.56, 0.37
RF-501, Square, 1, 7, 0.93, 0.58, 48, 768, 751, 17, 39, 9, 0.02, 0.81, 0.45
RF-501, Square, 1, 8, 0.93, 0.60, 57, 759, 749, 10, 45, 12, 0.01, 0.79, 0.44
RF-501, Square, 1, 9, 0.94, 0.56, 40, 776, 760, 16, 34, 6, 0.02, 0.85, 0.46
RF-501, Square, 1, 10, 0.94, 0.61, 42, 774, 759, 15, 32, 10, 0.02, 0.76, 0.44
RF-501, Square, 1, 11, 0.99, 0.96, 43, 773, 771, 2, 3, 40, 0.00, 0.07, 0.07
RF-501, Square, 1, 12, 0.92, 0.66, 57, 759, 734, 25, 37, 20, 0.03, 0.65, 0.40
RF-501, Square, 1, 13, 0.94, 0.69, 64, 752, 738, 14, 39, 25, 0.02, 0.61, 0.38
RF-501, Square, 1, 14, 0.91, 0.61, 61, 755, 728, 27, 45, 16, 0.04, 0.74, 0.43
RF-501, Square, 1, 15, 0.87, 0.52, 73, 743, 706, 37, 66, 7, 0.05, 0.90, 0.49
RF-501, Circle, 2, 1, 0.96, 0.81, 42, 570, 562, 8, 15, 27, 0.01, 0.36, 0.27
RF-501, Circle, 2, 2, 0.97, 0.80, 47, 565, 563, 2, 19, 28, 0.00, 0.40, 0.29
RF-501, Circle, 2, 3, 0.96, 0.87, 59, 553, 542, 11, 14, 45, 0.02, 0.24, 0.19
RF-501, Circle, 2, 4, 0.96, 0.72, 35, 577, 571, 6, 19, 16, 0.01, 0.54, 0.35
RF-501, Circle, 2, 5, 0.97, 0.87, 40, 572, 562, 10, 10, 30, 0.02, 0.25, 0.20
RF-501, Circle, 2, 6, 0.96, 0.80, 45, 567, 557, 10, 17, 28, 0.02, 0.38, 0.28
RF-501, Circle, 2, 7, 0.98, 0.90, 37, 575, 572, 3, 7, 30, 0.01, 0.19, 0.16
RF-501, Circle, 2, 8, 0.95, 0.80, 48, 564, 550, 14, 18, 30, 0.02, 0.38, 0.28
RF-501, Circle, 2, 9, 0.95, 0.79, 46, 566, 557, 9, 19, 27, 0.02, 0.41, 0.30
RF-501, Circle, 2, 10, 0.98, 0.84, 39, 573, 570, 3, 12, 27, 0.01, 0.31, 0.24
RF-501, Circle, 2, 11, 0.99, 0.94, 29, 583, 578, 5, 3, 26, 0.01, 0.10, 0.09
RF-501, Circle, 2, 12, 1.00, 1.00, 33, 579, 577, 2, 0, 33, 0.00, 0.00, 0.00
RF-501, Circle, 2, 13, 0.99, 0.95, 32, 580, 579, 1, 3, 29, 0.00, 0.09, 0.09
RF-501, Circle, 2, 14, 0.96, 0.89, 48, 564, 552, 12, 10, 38, 0.02, 0.21, 0.18
RF-501, Circle, 2, 15, 0.96, 0.76, 32, 580, 572, 8, 15, 17, 0.01, 0.47, 0.32
RF-501, Updown, 2, 1, 0.94, 0.75, 40, 512, 496, 16, 19, 21, 0.03, 0.47, 0.33
RF-501, Updown, 2, 2, 0.91, 0.62, 41, 511, 489, 22, 29, 12, 0.04, 0.71, 0.43
RF-501, Updown, 2, 3, 1.00, 1.00, 55, 497, 496, 1, 0, 55, 0.00, 0.00, 0.00
RF-501, Updown, 2, 4, 1.00, 1.00, 26, 526, 526, 0, 0, 26, 0.00, 0.00, 0.00
RF-501, Updown, 2, 5, 0.94, 0.71, 33, 519, 506, 13, 18, 15, 0.03, 0.55, 0.36
RF-501, Updown, 2, 6, 0.95, 0.81, 43, 509, 498, 11, 15, 28, 0.02, 0.35, 0.26
RF-501, Updown, 2, 7, 0.98, 0.88, 30, 522, 516, 6, 7, 23, 0.01, 0.23, 0.19
RF-501, Updown, 2, 8, 0.96, 0.81, 31, 521, 509, 12, 11, 20, 0.02, 0.35, 0.27
RF-501, Updown, 2, 9, 0.97, 0.86, 39, 513, 505, 8, 10, 29, 0.02, 0.26, 0.21
RF-501, Updown, 2, 10, 0.95, 0.74, 28, 524, 513, 11, 14, 14, 0.02, 0.50, 0.34
RF-501, Updown, 2, 11, 1.00, 1.00, 23, 529, 529, 0, 0, 23, 0.00, 0.00, 0.00
RF-501, Updown, 2, 12, 0.92, 0.67, 32, 520, 497, 23, 20, 12, 0.04, 0.62, 0.40
RF-501, Updown, 2, 13, 0.97, 0.80, 28, 524, 516, 8, 11, 17, 0.02, 0.39, 0.29
RF-501, Updown, 2, 14, 0.90, 0.70, 56, 496, 470, 26, 31, 25, 0.05, 0.55, 0.37
RF-501, Updown, 2, 15, 0.97, 0.89, 47, 505, 501, 4, 10, 37, 0.01, 0.21, 0.18
RF-501, Tilt, 2, 1, 0.99, 0.98, 50, 618, 616, 2, 2, 48, 0.00, 0.04, 0.04
RF-501, Tilt, 2, 2, 0.98, 0.95, 56, 612, 605, 7, 5, 51, 0.01, 0.09, 0.08
RF-501, Tilt, 2, 3, 0.98, 0.91, 55, 613, 608, 5, 9, 46, 0.01, 0.16, 0.14
RF-501, Tilt, 2, 4, 1.00, 1.00, 55, 613, 613, 0, 0, 55, 0.00, 0.00, 0.00
RF-501, Tilt, 2, 5, 0.97, 0.86, 37, 631, 622, 9, 10, 27, 0.01, 0.27, 0.22
RF-501, Tilt, 2, 6, 0.95, 0.77, 45, 623, 611, 12, 20, 25, 0.02, 0.44, 0.31
RF-501, Tilt, 2, 7, 0.98, 0.86, 36, 632, 628, 4, 10, 26, 0.01, 0.28, 0.22
RF-501, Tilt, 2, 8, 0.97, 0.87, 42, 626, 617, 9, 10, 32, 0.01, 0.24, 0.19
RF-501, Tilt, 2, 9, 0.97, 0.84, 46, 622, 613, 9, 14, 32, 0.01, 0.30, 0.24
RF-501, Tilt, 2, 10, 0.99, 0.94, 41, 627, 626, 1, 5, 36, 0.00, 0.12, 0.11
RF-501, Tilt, 2, 11, 0.99, 0.89, 28, 640, 639, 1, 6, 22, 0.00, 0.21, 0.18
RF-501, Tilt, 2, 12, 0.96, 0.84, 41, 627, 614, 13, 12, 29, 0.02, 0.29, 0.23
