ALGORITHM, GESTURE, # OF SELECTED FEATURES, PARTICIPANT_NO, ACCURACY, AUC, #ofPositiveInstance, #ofNegativeInstance, TN, FP, FN, TP, FAR, FRR, EER
RF-501, Circle, 1, 1, 0.92, 0.75, 15, 169, 162, 7, 7, 8, 0.04, 0.47, 0.33
RF-501, Circle, 1, 2, 0.93, 0.71, 19, 165, 164, 1, 11, 8, 0.01, 0.58, 0.37
RF-501, Circle, 1, 3, 0.91, 0.87, 17, 167, 154, 13, 3, 14, 0.08, 0.18, 0.16
RF-501, Circle, 1, 4, 0.92, 0.62, 11, 173, 166, 7, 8, 3, 0.04, 0.73, 0.43
RF-501, Circle, 1, 5, 0.97, 0.91, 12, 172, 168, 4, 2, 10, 0.02, 0.17, 0.15
RF-501, Circle, 1, 6, 0.91, 0.69, 16, 168, 160, 8, 9, 7, 0.05, 0.56, 0.37
RF-501, Circle, 1, 7, 0.94, 0.74, 14, 170, 166, 4, 7, 7, 0.02, 0.50, 0.34
RF-501, Circle, 1, 8, 0.95, 0.76, 9, 175, 169, 6, 4, 5, 0.03, 0.44, 0.32
RF-501, Circle, 1, 9, 0.90, 0.68, 17, 167, 159, 8, 10, 7, 0.05, 0.59, 0.38
RF-501, Circle, 1, 10, 0.96, 0.68, 8, 176, 173, 3, 5, 3, 0.02, 0.62, 0.39
RF-501, Circle, 1, 11, 0.98, 0.99, 3, 181, 177, 4, 0, 3, 0.02, 0.00, 0.02
RF-501, Circle, 1, 12, 1.00, 1.00, 8, 176, 176, 0, 0, 8, 0.00, 0.00, 0.00
RF-501, Circle, 1, 13, 0.97, 0.81, 8, 176, 174, 2, 3, 5, 0.01, 0.38, 0.28
RF-501, Circle, 1, 14, 0.93, 0.79, 16, 168, 161, 7, 6, 10, 0.04, 0.38, 0.28
RF-501, Circle, 1, 15, 0.96, 0.85, 11, 173, 169, 4, 3, 8, 0.02, 0.27, 0.22
RF-501, Updown, 1, 1, 0.89, 0.81, 14, 152, 138, 14, 4, 10, 0.09, 0.29, 0.24
RF-501, Updown, 1, 2, 0.90, 0.52, 15, 151, 148, 3, 14, 1, 0.02, 0.93, 0.49
RF-501, Updown, 1, 3, 0.99, 1.00, 15, 151, 150, 1, 0, 15, 0.01, 0.00, 0.01
RF-501, Updown, 1, 4, 1.00, 1.00, 8, 158, 158, 0, 0, 8, 0.00, 0.00, 0.00
RF-501, Updown, 1, 5, 0.93, 0.59, 10, 156, 152, 4, 8, 2, 0.03, 0.80, 0.45
RF-501, Updown, 1, 6, 0.95, 0.76, 13, 153, 151, 2, 6, 7, 0.01, 0.46, 0.32
RF-501, Updown, 1, 7, 0.99, 0.91, 6, 160, 159, 1, 1, 5, 0.01, 0.17, 0.14
RF-501, Updown, 1, 8, 0.96, 0.71, 7, 159, 157, 2, 4, 3, 0.01, 0.57, 0.37
RF-501, Updown, 1, 9, 0.95, 0.81, 14, 152, 148, 4, 5, 9, 0.03, 0.36, 0.27
RF-501, Updown, 1, 10, 0.95, 0.55, 10, 156, 156, 0, 9, 1, 0.00, 0.90, 0.47
RF-501, Updown, 1, 11, 1.00, 1.00, 13, 153, 153, 0, 0, 13, 0.00, 0.00, 0.00
RF-501, Updown, 1, 12, 0.98, 0.70, 5, 161, 160, 1, 3, 2, 0.01, 0.60, 0.38
RF-501, Updown, 1, 13, 0.99, 0.99, 2, 164, 162, 2, 0, 2, 0.01, 0.00, 0.01
RF-501, Updown, 1, 14, 0.90, 0.79, 15, 151, 139, 12, 5, 10, 0.08, 0.33, 0.27
RF-501, Updown, 1, 15, 0.92, 0.73, 19, 147, 144, 3, 10, 9, 0.02, 0.53, 0.35
