ALGORITHM, GESTURE, # OF SELECTED SENSORS, PARTICIPANT_NO, ACCURACY, AUC, #ofPositiveInstance, #ofNegativeInstance, TN, FP, FN, TP, FAR, FRR, EER
RF-501, Circle, Acc, 1, 0.96, 0.78, 42, 570, 566, 4, 18, 24, 0.01, 0.43, 0.30
RF-501, Circle, Acc, 2, 0.99, 0.95, 47, 565, 564, 1, 5, 42, 0.00, 0.11, 0.10
RF-501, Circle, Acc, 3, 0.93, 0.67, 59, 553, 549, 4, 39, 20, 0.01, 0.66, 0.40
RF-501, Circle, Acc, 4, 0.98, 0.91, 35, 577, 573, 4, 6, 29, 0.01, 0.17, 0.15
RF-501, Circle, Acc, 5, 0.96, 0.76, 40, 572, 569, 3, 19, 21, 0.01, 0.47, 0.32
RF-501, Circle, Acc, 6, 0.96, 0.73, 45, 567, 566, 1, 24, 21, 0.00, 0.53, 0.35
RF-501, Circle, Acc, 7, 0.98, 0.82, 37, 575, 573, 2, 13, 24, 0.00, 0.35, 0.26
RF-501, Circle, Acc, 8, 0.97, 0.85, 48, 564, 561, 3, 14, 34, 0.01, 0.29, 0.23
RF-501, Circle, Acc, 9, 0.94, 0.62, 46, 566, 565, 1, 35, 11, 0.00, 0.76, 0.43
RF-501, Circle, Acc, 10, 0.97, 0.83, 39, 573, 569, 4, 13, 26, 0.01, 0.33, 0.25
RF-501, Circle, Acc, 11, 0.99, 0.90, 29, 583, 583, 0, 6, 23, 0.00, 0.21, 0.17
RF-501, Circle, Acc, 12, 0.99, 0.92, 33, 579, 576, 3, 5, 28, 0.01, 0.15, 0.13
RF-501, Circle, Acc, 13, 0.99, 0.92, 32, 580, 577, 3, 5, 27, 0.01, 0.16, 0.14
RF-501, Circle, Acc, 14, 0.97, 0.89, 48, 564, 558, 6, 10, 38, 0.01, 0.21, 0.17
RF-501, Circle, Acc, 15, 0.98, 0.80, 32, 580, 579, 1, 13, 19, 0.00, 0.41, 0.29
RF-501, Updown, Acc, 1, 0.98, 0.92, 40, 512, 509, 3, 6, 34, 0.01, 0.15, 0.13
RF-501, Updown, Acc, 2, 0.96, 0.80, 41, 511, 507, 4, 16, 25, 0.01, 0.39, 0.28
RF-501, Updown, Acc, 3, 0.97, 0.88, 55, 497, 495, 2, 13, 42, 0.00, 0.24, 0.19
RF-501, Updown, Acc, 4, 0.99, 0.90, 26, 526, 526, 0, 5, 21, 0.00, 0.19, 0.16
RF-501, Updown, Acc, 5, 0.96, 0.71, 33, 519, 518, 1, 19, 14, 0.00, 0.58, 0.37
RF-501, Updown, Acc, 6, 0.98, 0.90, 43, 509, 505, 4, 8, 35, 0.01, 0.19, 0.16
RF-501, Updown, Acc, 7, 0.97, 0.80, 30, 522, 520, 2, 12, 18, 0.00, 0.40, 0.29
RF-501, Updown, Acc, 8, 0.99, 0.92, 31, 521, 520, 1, 5, 26, 0.00, 0.16, 0.14
RF-501, Updown, Acc, 9, 0.96, 0.76, 39, 513, 512, 1, 19, 20, 0.00, 0.49, 0.33
RF-501, Updown, Acc, 10, 0.97, 0.73, 28, 524, 523, 1, 15, 13, 0.00, 0.54, 0.35
RF-501, Updown, Acc, 11, 1.00, 0.96, 23, 529, 529, 0, 2, 21, 0.00, 0.09, 0.08
RF-501, Updown, Acc, 12, 0.99, 0.92, 32, 520, 517, 3, 5, 27, 0.01, 0.16, 0.14
RF-501, Updown, Acc, 13, 0.99, 0.93, 28, 524, 523, 1, 4, 24, 0.00, 0.14, 0.13
RF-501, Updown, Acc, 14, 0.94, 0.73, 56, 496, 492, 4, 30, 26, 0.01, 0.54, 0.35
RF-501, Updown, Acc, 15, 0.99, 0.95, 47, 505, 504, 1, 5, 42, 0.00, 0.11, 0.10
RF-501, Tilt, Acc, 1, 0.97, 0.81, 50, 618, 618, 0, 19, 31, 0.00, 0.38, 0.28
RF-501, Tilt, Acc, 2, 0.97, 0.86, 56, 612, 611, 1, 16, 40, 0.00, 0.29, 0.22
RF-501, Tilt, Acc, 3, 0.98, 0.91, 55, 613, 608, 5, 10, 45, 0.01, 0.18, 0.15
RF-501, Tilt, Acc, 4, 0.99, 0.97, 55, 613, 610, 3, 3, 52, 0.00, 0.05, 0.05
RF-501, Tilt, Acc, 5, 0.95, 0.55, 37, 631, 631, 0, 33, 4, 0.00, 0.89, 0.47
RF-501, Tilt, Acc, 6, 0.99, 0.92, 45, 623, 622, 1, 7, 38, 0.00, 0.16, 0.13
RF-501, Tilt, Acc, 7, 0.95, 0.56, 36, 632, 632, 0, 32, 4, 0.00, 0.89, 0.47
RF-501, Tilt, Acc, 8, 0.95, 0.63, 42, 626, 623, 3, 31, 11, 0.00, 0.74, 0.43
RF-501, Tilt, Acc, 9, 0.97, 0.80, 46, 622, 618, 4, 18, 28, 0.01, 0.39, 0.28
RF-501, Tilt, Acc, 10, 0.97, 0.79, 41, 627, 626, 1, 17, 24, 0.00, 0.41, 0.29
RF-501, Tilt, Acc, 11, 0.99, 0.89, 28, 640, 640, 0, 6, 22, 0.00, 0.21, 0.18
RF-501, Tilt, Acc, 12, 0.99, 0.95, 41, 627, 622, 5, 4, 37, 0.01, 0.10, 0.09
RF-501, Tilt, Acc, 13, 1.00, 0.99, 34, 634, 634, 0, 1, 33, 0.00, 0.03, 0.03
RF-501, Tilt, Acc, 14, 0.95, 0.77, 55, 613, 606, 7, 25, 30, 0.01, 0.45, 0.31
RF-501, Tilt, Acc, 15, 1.00, 0.97, 47, 621, 621, 0, 3, 44, 0.00, 0.06, 0.06
RF-501, Triangle, Acc, 1, 0.97, 0.79, 45, 711, 708, 3, 19, 26, 0.00, 0.42, 0.30
RF-501, Triangle, Acc, 2, 0.94, 0.62, 57, 699, 696, 3, 43, 14, 0.00, 0.75, 0.43
RF-501, Triangle, Acc, 3, 0.94, 0.68, 61, 695, 690, 5, 39, 22, 0.01, 0.64, 0.39
RF-501, Triangle, Acc, 4, 0.96, 0.79, 66, 690, 684, 6, 27, 39, 0.01, 0.41, 0.29
RF-501, Triangle, Acc, 5, 0.95, 0.55, 44, 712, 712, 0, 40, 4, 0.00, 0.91, 0.48
RF-501, Triangle, Acc, 6, 0.96, 0.64, 43, 713, 712, 1, 31, 12, 0.00, 0.72, 0.42
RF-501, Triangle, Acc, 7, 0.98, 0.83, 44, 712, 709, 3, 15, 29, 0.00, 0.34, 0.26
RF-501, Triangle, Acc, 8, 0.97, 0.83, 49, 707, 700, 7, 16, 33, 0.01, 0.33, 0.25
RF-501, Triangle, Acc, 9, 0.94, 0.58, 51, 705, 704, 1, 43, 8, 0.00, 0.84, 0.46
RF-501, Triangle, Acc, 10, 0.99, 0.94, 42, 714, 711, 3, 5, 37, 0.00, 0.12, 0.11
RF-501, Triangle, Acc, 11, 0.98, 0.80, 35, 721, 718, 3, 14, 21, 0.00, 0.40, 0.29
RF-501, Triangle, Acc, 12, 0.96, 0.69, 41, 715, 710, 5, 25, 16, 0.01, 0.61, 0.38
RF-501, Triangle, Acc, 13, 0.98, 0.94, 60, 696, 691, 5, 7, 53, 0.01, 0.12, 0.11
RF-501, Triangle, Acc, 14, 0.96, 0.74, 48, 708, 706, 2, 25, 23, 0.00, 0.52, 0.34
RF-501, Triangle, Acc, 15, 0.92, 0.60, 70, 686, 683, 3, 55, 15, 0.00, 0.79, 0.44
RF-501, Turn, Acc, 1, 0.98, 0.93, 85, 590, 589, 1, 12, 73, 0.00, 0.14, 0.12
RF-501, Turn, Acc, 2, 0.96, 0.74, 47, 628, 627, 1, 24, 23, 0.00, 0.51, 0.34
RF-501, Turn, Acc, 3, 0.96, 0.87, 64, 611, 602, 9, 16, 48, 0.01, 0.25, 0.20
RF-501, Turn, Acc, 4, 1.00, 0.99, 43, 632, 630, 2, 1, 42, 0.00, 0.02, 0.02
RF-501, Turn, Acc, 5, 0.97, 0.74, 39, 636, 635, 1, 20, 19, 0.00, 0.51, 0.34
RF-501, Turn, Acc, 6, 0.98, 0.91, 51, 624, 622, 2, 9, 42, 0.00, 0.18, 0.15
RF-501, Turn, Acc, 7, 0.98, 0.79, 31, 644, 643, 1, 13, 18, 0.00, 0.42, 0.30
RF-501, Turn, Acc, 8, 0.98, 0.88, 41, 634, 632, 2, 10, 31, 0.00, 0.24, 0.20
RF-501, Turn, Acc, 9, 0.95, 0.73, 50, 625, 621, 4, 27, 23, 0.01, 0.54, 0.35
RF-501, Turn, Acc, 10, 0.99, 0.91, 32, 643, 643, 0, 6, 26, 0.00, 0.19, 0.16
RF-501, Turn, Acc, 11, 0.99, 0.90, 31, 644, 642, 2, 6, 25, 0.00, 0.19, 0.16
RF-501, Turn, Acc, 12, 0.98, 0.89, 37, 638, 635, 3, 8, 29, 0.00, 0.22, 0.18
RF-501, Turn, Acc, 13, 1.00, 0.98, 28, 647, 646, 1, 1, 27, 0.00, 0.04, 0.03
RF-501, Turn, Acc, 14, 0.95, 0.73, 58, 617, 613, 4, 31, 27, 0.01, 0.53, 0.35
RF-501, Turn, Acc, 15, 1.00, 0.97, 38, 637, 637, 0, 2, 36, 0.00, 0.05, 0.05
RF-501, Square, Acc, 1, 0.95, 0.71, 63, 753, 750, 3, 36, 27, 0.00, 0.57, 0.36
RF-501, Square, Acc, 2, 0.96, 0.75, 58, 758, 754, 4, 29, 29, 0.01, 0.50, 0.33
RF-501, Square, Acc, 3, 0.97, 0.86, 67, 749, 746, 3, 19, 48, 0.00, 0.28, 0.22
RF-501, Square, Acc, 4, 0.96, 0.56, 39, 777, 776, 1, 34, 5, 0.00, 0.87, 0.47
RF-501, Square, Acc, 5, 0.94, 0.54, 49, 767, 767, 0, 45, 4, 0.00, 0.92, 0.48
RF-501, Square, Acc, 6, 0.94, 0.57, 55, 761, 759, 2, 47, 8, 0.00, 0.85, 0.46
RF-501, Square, Acc, 7, 0.97, 0.79, 48, 768, 764, 4, 20, 28, 0.01, 0.42, 0.30
RF-501, Square, Acc, 8, 0.98, 0.88, 57, 759, 753, 6, 13, 44, 0.01, 0.23, 0.19
RF-501, Square, Acc, 9, 0.97, 0.72, 40, 776, 773, 3, 22, 18, 0.00, 0.55, 0.36
RF-501, Square, Acc, 10, 0.98, 0.81, 42, 774, 771, 3, 16, 26, 0.00, 0.38, 0.28
RF-501, Square, Acc, 11, 0.96, 0.63, 43, 773, 769, 4, 32, 11, 0.01, 0.74, 0.43
RF-501, Square, Acc, 12, 0.96, 0.77, 57, 759, 755, 4, 26, 31, 0.01, 0.46, 0.31
RF-501, Square, Acc, 13, 0.98, 0.94, 64, 752, 745, 7, 7, 57, 0.01, 0.11, 0.10
RF-501, Square, Acc, 14, 0.96, 0.74, 61, 755, 750, 5, 31, 30, 0.01, 0.51, 0.34
RF-501, Square, Acc, 15, 0.93, 0.67, 73, 743, 734, 9, 48, 25, 0.01, 0.66, 0.40
RF-501, Circle, Gyr, 1, 0.99, 0.94, 42, 570, 570, 0, 5, 37, 0.00, 0.12, 0.11
RF-501, Circle, Gyr, 2, 0.98, 0.91, 47, 565, 563, 2, 8, 39, 0.00, 0.17, 0.15
RF-501, Circle, Gyr, 3, 0.97, 0.85, 59, 553, 552, 1, 18, 41, 0.00, 0.31, 0.23
RF-501, Circle, Gyr, 4, 0.98, 0.86, 35, 577, 577, 0, 10, 25, 0.00, 0.29, 0.22
RF-501, Circle, Gyr, 5, 0.98, 0.85, 40, 572, 572, 0, 12, 28, 0.00, 0.30, 0.23
RF-501, Circle, Gyr, 6, 0.95, 0.71, 45, 567, 565, 2, 26, 19, 0.00, 0.58, 0.37
RF-501, Circle, Gyr, 7, 0.99, 0.89, 37, 575, 574, 1, 8, 29, 0.00, 0.22, 0.18
RF-501, Circle, Gyr, 8, 0.97, 0.83, 48, 564, 562, 2, 16, 32, 0.00, 0.33, 0.25
RF-501, Circle, Gyr, 9, 0.96, 0.74, 46, 566, 566, 0, 24, 22, 0.00, 0.52, 0.34
RF-501, Circle, Gyr, 10, 0.99, 0.92, 39, 573, 571, 2, 6, 33, 0.00, 0.15, 0.13
RF-501, Circle, Gyr, 11, 0.99, 0.84, 29, 583, 583, 0, 9, 20, 0.00, 0.31, 0.24
RF-501, Circle, Gyr, 12, 0.98, 0.89, 33, 579, 576, 3, 7, 26, 0.01, 0.21, 0.18
RF-501, Circle, Gyr, 13, 0.99, 0.92, 32, 580, 580, 0, 5, 27, 0.00, 0.16, 0.14
RF-501, Circle, Gyr, 14, 0.98, 0.87, 48, 564, 563, 1, 12, 36, 0.00, 0.25, 0.20
RF-501, Circle, Gyr, 15, 0.99, 0.94, 32, 580, 580, 0, 4, 28, 0.00, 0.12, 0.11
RF-501, Updown, Gyr, 1, 0.96, 0.75, 40, 512, 508, 4, 20, 20, 0.01, 0.50, 0.34
RF-501, Updown, Gyr, 2, 0.93, 0.56, 41, 511, 511, 0, 36, 5, 0.00, 0.88, 0.47
RF-501, Updown, Gyr, 3, 0.96, 0.81, 55, 497, 497, 0, 21, 34, 0.00, 0.38, 0.28
RF-501, Updown, Gyr, 4, 0.98, 0.81, 26, 526, 526, 0, 10, 16, 0.00, 0.38, 0.28
RF-501, Updown, Gyr, 5, 0.95, 0.58, 33, 519, 519, 0, 28, 5, 0.00, 0.85, 0.46
RF-501, Updown, Gyr, 6, 0.93, 0.53, 43, 509, 508, 1, 40, 3, 0.00, 0.93, 0.48
RF-501, Updown, Gyr, 7, 0.95, 0.52, 30, 522, 522, 0, 29, 1, 0.00, 0.97, 0.49
RF-501, Updown, Gyr, 8, 0.94, 0.50, 31, 521, 521, 0, 31, 0, 0.00, 1.00, 0.50
RF-501, Updown, Gyr, 9, 0.93, 0.51, 39, 513, 513, 0, 38, 1, 0.00, 0.97, 0.49
