ALGORITHM, GESTURE, # OF SELECTED SENSORS, PARTICIPANT_NO, ACCURACY, AUC, #ofPositiveInstance, #ofNegativeInstance, TN, FP, FN, TP, FAR, FRR, EER
RF-501, Circle, Acc, 1, 0.95, 0.82, 42, 570, 556, 14, 14, 28, 0.02, 0.33, 0.25
RF-501, Circle, Acc, 2, 0.99, 0.96, 47, 565, 559, 6, 3, 44, 0.01, 0.06, 0.06
RF-501, Circle, Acc, 3, 0.92, 0.76, 59, 553, 533, 20, 26, 33, 0.04, 0.44, 0.31
RF-501, Circle, Acc, 4, 0.98, 0.92, 35, 577, 572, 5, 5, 30, 0.01, 0.14, 0.13
RF-501, Circle, Acc, 5, 0.97, 0.82, 40, 572, 565, 7, 14, 26, 0.01, 0.35, 0.26
RF-501, Circle, Acc, 6, 0.95, 0.78, 45, 567, 554, 13, 19, 26, 0.02, 0.42, 0.30
RF-501, Circle, Acc, 7, 0.99, 0.93, 37, 575, 572, 3, 5, 32, 0.01, 0.14, 0.12
RF-501, Circle, Acc, 8, 0.97, 0.90, 48, 564, 555, 9, 9, 39, 0.02, 0.19, 0.16
RF-501, Circle, Acc, 9, 0.94, 0.82, 46, 566, 543, 23, 15, 31, 0.04, 0.33, 0.25
RF-501, Circle, Acc, 10, 0.98, 0.92, 39, 573, 566, 7, 6, 33, 0.01, 0.15, 0.13
RF-501, Circle, Acc, 11, 1.00, 1.00, 29, 583, 581, 2, 0, 29, 0.00, 0.00, 0.00
RF-501, Circle, Acc, 12, 0.99, 0.94, 33, 579, 576, 3, 4, 29, 0.01, 0.12, 0.11
RF-501, Circle, Acc, 13, 0.99, 0.97, 32, 580, 576, 4, 2, 30, 0.01, 0.06, 0.06
RF-501, Circle, Acc, 14, 0.97, 0.95, 48, 564, 552, 12, 4, 44, 0.02, 0.08, 0.08
RF-501, Circle, Acc, 15, 0.97, 0.84, 32, 580, 572, 8, 10, 22, 0.01, 0.31, 0.24
RF-501, Updown, Acc, 1, 0.99, 0.96, 40, 512, 510, 2, 3, 37, 0.00, 0.07, 0.07
RF-501, Updown, Acc, 2, 0.96, 0.87, 41, 511, 500, 11, 10, 31, 0.02, 0.24, 0.20
RF-501, Updown, Acc, 3, 0.97, 0.92, 55, 497, 488, 9, 8, 47, 0.02, 0.15, 0.13
RF-501, Updown, Acc, 4, 0.99, 0.90, 26, 526, 524, 2, 5, 21, 0.00, 0.19, 0.16
RF-501, Updown, Acc, 5, 0.98, 0.85, 33, 519, 516, 3, 10, 23, 0.01, 0.30, 0.23
RF-501, Updown, Acc, 6, 0.98, 0.94, 43, 509, 503, 6, 5, 38, 0.01, 0.12, 0.11
RF-501, Updown, Acc, 7, 0.97, 0.84, 30, 522, 516, 6, 9, 21, 0.01, 0.30, 0.23
RF-501, Updown, Acc, 8, 0.99, 0.97, 31, 521, 520, 1, 2, 29, 0.00, 0.06, 0.06
RF-501, Updown, Acc, 9, 0.96, 0.86, 39, 513, 499, 14, 10, 29, 0.03, 0.26, 0.21
RF-501, Updown, Acc, 10, 0.98, 0.91, 28, 524, 519, 5, 5, 23, 0.01, 0.18, 0.15
RF-501, Updown, Acc, 11, 1.00, 0.96, 23, 529, 529, 0, 2, 21, 0.00, 0.09, 0.08
RF-501, Updown, Acc, 12, 0.99, 0.94, 32, 520, 519, 1, 4, 28, 0.00, 0.12, 0.11
RF-501, Updown, Acc, 13, 0.99, 0.94, 28, 524, 522, 2, 3, 25, 0.00, 0.11, 0.10
RF-501, Updown, Acc, 14, 0.95, 0.83, 56, 496, 486, 10, 18, 38, 0.02, 0.32, 0.25
RF-501, Updown, Acc, 15, 0.98, 0.96, 47, 505, 497, 8, 3, 44, 0.02, 0.06, 0.06
RF-501, Tilt, Acc, 1, 0.96, 0.89, 50, 618, 601, 17, 10, 40, 0.03, 0.20, 0.17
RF-501, Tilt, Acc, 2, 0.97, 0.91, 56, 612, 599, 13, 9, 47, 0.02, 0.16, 0.14
RF-501, Tilt, Acc, 3, 0.97, 0.94, 55, 613, 602, 11, 6, 49, 0.02, 0.11, 0.10
RF-501, Tilt, Acc, 4, 0.99, 0.98, 55, 613, 610, 3, 2, 53, 0.00, 0.04, 0.04
RF-501, Tilt, Acc, 5, 0.93, 0.70, 37, 631, 608, 23, 21, 16, 0.04, 0.57, 0.37
RF-501, Tilt, Acc, 6, 0.99, 0.95, 45, 623, 618, 5, 4, 41, 0.01, 0.09, 0.08
RF-501, Tilt, Acc, 7, 0.96, 0.79, 36, 632, 616, 16, 14, 22, 0.03, 0.39, 0.29
RF-501, Tilt, Acc, 8, 0.93, 0.76, 42, 626, 600, 26, 18, 24, 0.04, 0.43, 0.31
RF-501, Tilt, Acc, 9, 0.96, 0.85, 46, 622, 610, 12, 13, 33, 0.02, 0.28, 0.22
RF-501, Tilt, Acc, 10, 0.97, 0.87, 41, 627, 615, 12, 10, 31, 0.02, 0.24, 0.20
RF-501, Tilt, Acc, 11, 0.99, 0.93, 28, 640, 640, 0, 4, 24, 0.00, 0.14, 0.13
RF-501, Tilt, Acc, 12, 0.98, 0.93, 41, 627, 621, 6, 5, 36, 0.01, 0.12, 0.11
RF-501, Tilt, Acc, 13, 1.00, 0.97, 34, 634, 634, 0, 2, 32, 0.00, 0.06, 0.06
RF-501, Tilt, Acc, 14, 0.96, 0.88, 55, 613, 596, 17, 12, 43, 0.03, 0.22, 0.18
RF-501, Tilt, Acc, 15, 1.00, 0.97, 47, 621, 621, 0, 3, 44, 0.00, 0.06, 0.06
RF-501, Triangle, Acc, 1, 0.97, 0.85, 45, 711, 703, 8, 13, 32, 0.01, 0.29, 0.23
RF-501, Triangle, Acc, 2, 0.94, 0.77, 57, 699, 678, 21, 25, 32, 0.03, 0.44, 0.31
RF-501, Triangle, Acc, 3, 0.94, 0.81, 61, 695, 672, 23, 21, 40, 0.03, 0.34, 0.26
RF-501, Triangle, Acc, 4, 0.96, 0.86, 66, 690, 674, 16, 17, 49, 0.02, 0.26, 0.21
RF-501, Triangle, Acc, 5, 0.94, 0.69, 44, 712, 694, 18, 26, 18, 0.03, 0.59, 0.38
RF-501, Triangle, Acc, 6, 0.97, 0.82, 43, 713, 705, 8, 15, 28, 0.01, 0.35, 0.26
RF-501, Triangle, Acc, 7, 0.97, 0.86, 44, 712, 702, 10, 12, 32, 0.01, 0.27, 0.22
RF-501, Triangle, Acc, 8, 0.97, 0.89, 49, 707, 695, 12, 10, 39, 0.02, 0.20, 0.17
RF-501, Triangle, Acc, 9, 0.94, 0.77, 51, 705, 680, 25, 22, 29, 0.04, 0.43, 0.31
RF-501, Triangle, Acc, 10, 0.99, 0.97, 42, 714, 711, 3, 2, 40, 0.00, 0.05, 0.05
RF-501, Triangle, Acc, 11, 0.98, 0.92, 35, 721, 712, 9, 5, 30, 0.01, 0.14, 0.13
RF-501, Triangle, Acc, 12, 0.96, 0.84, 41, 715, 698, 17, 12, 29, 0.02, 0.29, 0.23
RF-501, Triangle, Acc, 13, 0.98, 0.94, 60, 696, 687, 9, 6, 54, 0.01, 0.10, 0.09
RF-501, Triangle, Acc, 14, 0.97, 0.84, 48, 708, 699, 9, 15, 33, 0.01, 0.31, 0.24
RF-501, Triangle, Acc, 15, 0.90, 0.70, 70, 686, 648, 38, 38, 32, 0.06, 0.54, 0.36
RF-501, Turn, Acc, 1, 0.97, 0.93, 85, 590, 584, 6, 11, 74, 0.01, 0.13, 0.12
RF-501, Turn, Acc, 2, 0.96, 0.84, 47, 628, 618, 10, 14, 33, 0.02, 0.30, 0.23
RF-501, Turn, Acc, 3, 0.97, 0.93, 64, 611, 597, 14, 7, 57, 0.02, 0.11, 0.10
RF-501, Turn, Acc, 4, 1.00, 0.99, 43, 632, 630, 2, 1, 42, 0.00, 0.02, 0.02
RF-501, Turn, Acc, 5, 0.98, 0.89, 39, 636, 629, 7, 8, 31, 0.01, 0.21, 0.17
RF-501, Turn, Acc, 6, 0.97, 0.89, 51, 624, 612, 12, 10, 41, 0.02, 0.20, 0.17
RF-501, Turn, Acc, 7, 0.98, 0.90, 31, 644, 639, 5, 6, 25, 0.01, 0.19, 0.16
RF-501, Turn, Acc, 8, 0.98, 0.91, 41, 634, 626, 8, 7, 34, 0.01, 0.17, 0.15
RF-501, Turn, Acc, 9, 0.94, 0.79, 50, 625, 605, 20, 19, 31, 0.03, 0.38, 0.28
RF-501, Turn, Acc, 10, 0.99, 0.95, 32, 643, 640, 3, 3, 29, 0.00, 0.09, 0.09
RF-501, Turn, Acc, 11, 0.99, 0.92, 31, 644, 642, 2, 5, 26, 0.00, 0.16, 0.14
RF-501, Turn, Acc, 12, 0.99, 0.92, 37, 638, 635, 3, 6, 31, 0.00, 0.16, 0.14
RF-501, Turn, Acc, 13, 1.00, 0.98, 28, 647, 646, 1, 1, 27, 0.00, 0.04, 0.03
RF-501, Turn, Acc, 14, 0.94, 0.82, 58, 617, 596, 21, 19, 39, 0.03, 0.33, 0.25
RF-501, Turn, Acc, 15, 1.00, 0.99, 38, 637, 637, 0, 1, 37, 0.00, 0.03, 0.03
RF-501, Square, Acc, 1, 0.95, 0.83, 63, 753, 730, 23, 20, 43, 0.03, 0.32, 0.25
RF-501, Square, Acc, 2, 0.96, 0.81, 58, 758, 744, 14, 21, 37, 0.02, 0.36, 0.27
RF-501, Square, Acc, 3, 0.97, 0.90, 67, 749, 740, 9, 12, 55, 0.01, 0.18, 0.15
RF-501, Square, Acc, 4, 0.96, 0.80, 39, 777, 760, 17, 15, 24, 0.02, 0.38, 0.28
RF-501, Square, Acc, 5, 0.95, 0.77, 49, 767, 751, 16, 22, 27, 0.02, 0.45, 0.31
RF-501, Square, Acc, 6, 0.94, 0.78, 55, 761, 732, 29, 22, 33, 0.04, 0.40, 0.29
RF-501, Square, Acc, 7, 0.97, 0.84, 48, 768, 759, 9, 15, 33, 0.01, 0.31, 0.24
RF-501, Square, Acc, 8, 0.98, 0.94, 57, 759, 748, 11, 6, 51, 0.01, 0.11, 0.10
RF-501, Square, Acc, 9, 0.97, 0.88, 40, 776, 764, 12, 9, 31, 0.02, 0.23, 0.19
RF-501, Square, Acc, 10, 0.98, 0.91, 42, 774, 768, 6, 7, 35, 0.01, 0.17, 0.14
RF-501, Square, Acc, 11, 0.97, 0.83, 43, 773, 761, 12, 14, 29, 0.02, 0.33, 0.25
RF-501, Square, Acc, 12, 0.97, 0.89, 57, 759, 742, 17, 11, 46, 0.02, 0.19, 0.16
RF-501, Square, Acc, 13, 0.98, 0.95, 64, 752, 742, 10, 6, 58, 0.01, 0.09, 0.09
RF-501, Square, Acc, 14, 0.96, 0.84, 61, 755, 743, 12, 18, 43, 0.02, 0.30, 0.23
RF-501, Square, Acc, 15, 0.94, 0.79, 73, 743, 722, 21, 28, 45, 0.03, 0.38, 0.28
RF-501, Circle, Gyr, 1, 0.99, 0.95, 42, 570, 570, 0, 4, 38, 0.00, 0.10, 0.09
RF-501, Circle, Gyr, 2, 0.98, 0.93, 47, 565, 561, 4, 6, 41, 0.01, 0.13, 0.11
RF-501, Circle, Gyr, 3, 0.98, 0.94, 59, 553, 549, 4, 7, 52, 0.01, 0.12, 0.11
RF-501, Circle, Gyr, 4, 0.97, 0.92, 35, 577, 564, 13, 5, 30, 0.02, 0.14, 0.13
