ALGORITHM, GESTURE, # OF SELECTED SENSORS, PARTICIPANT_NO, ACCURACY, AUC, #ofPositiveInstance, #ofNegativeInstance, TN, FP, FN, TP, FAR, FRR, EER
RF-501, Circle, Acc, 1, 0.97, 0.86, 15, 169, 168, 1, 4, 11, 0.01, 0.27, 0.21
RF-501, Circle, Acc, 2, 0.98, 0.99, 19, 165, 162, 3, 0, 19, 0.02, 0.00, 0.02
RF-501, Circle, Acc, 3, 0.90, 0.71, 17, 167, 157, 10, 9, 8, 0.06, 0.53, 0.36
RF-501, Circle, Acc, 4, 0.96, 0.85, 11, 173, 169, 4, 3, 8, 0.02, 0.27, 0.22
RF-501, Circle, Acc, 5, 0.95, 0.82, 12, 172, 167, 5, 4, 8, 0.03, 0.33, 0.26
RF-501, Circle, Acc, 6, 0.93, 0.74, 16, 168, 164, 4, 8, 8, 0.02, 0.50, 0.34
RF-501, Circle, Acc, 7, 0.98, 0.96, 14, 170, 168, 2, 1, 13, 0.01, 0.07, 0.07
RF-501, Circle, Acc, 8, 0.97, 0.99, 9, 175, 170, 5, 0, 9, 0.03, 0.00, 0.03
RF-501, Circle, Acc, 9, 0.91, 0.69, 17, 167, 161, 6, 10, 7, 0.04, 0.59, 0.38
RF-501, Circle, Acc, 10, 0.99, 0.99, 8, 176, 174, 2, 0, 8, 0.01, 0.00, 0.01
RF-501, Circle, Acc, 11, 1.00, 1.00, 3, 181, 181, 0, 0, 3, 0.00, 0.00, 0.00
RF-501, Circle, Acc, 12, 0.99, 0.94, 8, 176, 176, 0, 1, 7, 0.00, 0.12, 0.11
RF-501, Circle, Acc, 13, 0.99, 0.93, 8, 176, 175, 1, 1, 7, 0.01, 0.12, 0.11
RF-501, Circle, Acc, 14, 0.96, 0.84, 16, 168, 166, 2, 5, 11, 0.01, 0.31, 0.24
RF-501, Circle, Acc, 15, 0.97, 0.82, 11, 173, 172, 1, 4, 7, 0.01, 0.36, 0.27
RF-501, Updown, Acc, 1, 0.99, 0.96, 14, 152, 151, 1, 1, 13, 0.01, 0.07, 0.07
RF-501, Updown, Acc, 2, 0.94, 0.82, 15, 151, 146, 5, 5, 10, 0.03, 0.33, 0.26
RF-501, Updown, Acc, 3, 0.95, 0.82, 15, 151, 148, 3, 5, 10, 0.02, 0.33, 0.25
RF-501, Updown, Acc, 4, 0.99, 1.00, 8, 158, 157, 1, 0, 8, 0.01, 0.00, 0.01
RF-501, Updown, Acc, 5, 1.00, 1.00, 10, 156, 156, 0, 0, 10, 0.00, 0.00, 0.00
RF-501, Updown, Acc, 6, 1.00, 1.00, 13, 153, 153, 0, 0, 13, 0.00, 0.00, 0.00
RF-501, Updown, Acc, 7, 0.98, 0.83, 6, 160, 159, 1, 2, 4, 0.01, 0.33, 0.25
RF-501, Updown, Acc, 8, 1.00, 1.00, 7, 159, 159, 0, 0, 7, 0.00, 0.00, 0.00
RF-501, Updown, Acc, 9, 0.95, 0.71, 14, 152, 151, 1, 8, 6, 0.01, 0.57, 0.37
RF-501, Updown, Acc, 10, 0.98, 0.85, 10, 156, 156, 0, 3, 7, 0.00, 0.30, 0.23
RF-501, Updown, Acc, 11, 0.99, 0.96, 13, 153, 153, 0, 1, 12, 0.00, 0.08, 0.07
RF-501, Updown, Acc, 12, 0.99, 0.80, 5, 161, 161, 0, 2, 3, 0.00, 0.40, 0.29
RF-501, Updown, Acc, 13, 0.99, 1.00, 2, 164, 163, 1, 0, 2, 0.01, 0.00, 0.01
RF-501, Updown, Acc, 14, 0.96, 0.86, 15, 151, 149, 2, 4, 11, 0.01, 0.27, 0.21
RF-501, Updown, Acc, 15, 0.96, 0.93, 19, 147, 143, 4, 2, 17, 0.03, 0.11, 0.10
RF-501, Tilt, Acc, 1, 0.97, 0.93, 16, 185, 181, 4, 2, 14, 0.02, 0.12, 0.11
RF-501, Tilt, Acc, 2, 0.98, 0.90, 25, 176, 176, 0, 5, 20, 0.00, 0.20, 0.17
RF-501, Tilt, Acc, 3, 0.98, 0.96, 16, 185, 181, 4, 1, 15, 0.02, 0.06, 0.06
RF-501, Tilt, Acc, 4, 1.00, 0.97, 18, 183, 183, 0, 1, 17, 0.00, 0.06, 0.05
RF-501, Tilt, Acc, 5, 0.92, 0.89, 7, 194, 179, 15, 1, 6, 0.08, 0.14, 0.13
RF-501, Tilt, Acc, 6, 0.99, 0.95, 10, 191, 190, 1, 1, 9, 0.01, 0.10, 0.09
RF-501, Tilt, Acc, 7, 0.96, 0.74, 12, 189, 187, 2, 6, 6, 0.01, 0.50, 0.34
RF-501, Tilt, Acc, 8, 0.92, 0.81, 16, 185, 174, 11, 5, 11, 0.06, 0.31, 0.25
RF-501, Tilt, Acc, 9, 0.97, 0.88, 9, 192, 187, 5, 2, 7, 0.03, 0.22, 0.19
RF-501, Tilt, Acc, 10, 0.96, 0.74, 8, 193, 188, 5, 4, 4, 0.03, 0.50, 0.34
RF-501, Tilt, Acc, 11, 1.00, 1.00, 10, 191, 191, 0, 0, 10, 0.00, 0.00, 0.00
RF-501, Tilt, Acc, 12, 0.99, 0.95, 10, 191, 190, 1, 1, 9, 0.01, 0.10, 0.09
RF-501, Tilt, Acc, 13, 1.00, 1.00, 10, 191, 191, 0, 0, 10, 0.00, 0.00, 0.00
RF-501, Tilt, Acc, 14, 0.97, 0.87, 17, 184, 181, 3, 4, 13, 0.02, 0.24, 0.19
RF-501, Tilt, Acc, 15, 0.99, 0.94, 17, 184, 184, 0, 2, 15, 0.00, 0.12, 0.11
RF-501, Triangle, Acc, 1, 0.98, 0.93, 15, 212, 210, 2, 2, 13, 0.01, 0.13, 0.12
